site,date,rainfall_mm
HY Wai-iti at Belgrove,2017-09-01,0.996
HY Wai-iti at Belgrove,2017-09-02,0
HY Wai-iti at Belgrove,2017-09-03,0
HY Wai-iti at Belgrove,2017-09-04,0
HY Wai-iti at Belgrove,2017-09-05,1.494
HY Wai-iti at Belgrove,2017-09-06,2.988
HY Wai-iti at Belgrove,2017-09-07,13.446
HY Wai-iti at Belgrove,2017-09-08,6.972
HY Wai-iti at Belgrove,2017-09-09,1.992
HY Wai-iti at Belgrove,2017-09-10,2.988
HY Wai-iti at Belgrove,2017-09-11,0
HY Wai-iti at Belgrove,2017-09-12,0
HY Wai-iti at Belgrove,2017-09-13,0
HY Wai-iti at Belgrove,2017-09-14,0
HY Wai-iti at Belgrove,2017-09-15,14.6004831
HY Wai-iti at Belgrove,2017-09-16,0.744517
HY Wai-iti at Belgrove,2017-09-17,14.85
HY Wai-iti at Belgrove,2017-09-18,0.495
HY Wai-iti at Belgrove,2017-09-19,0
HY Wai-iti at Belgrove,2017-09-20,1.98
HY Wai-iti at Belgrove,2017-09-21,30.195
HY Wai-iti at Belgrove,2017-09-22,0.99
HY Wai-iti at Belgrove,2017-09-23,0
HY Wai-iti at Belgrove,2017-09-24,0
HY Wai-iti at Belgrove,2017-09-25,15.345
HY Wai-iti at Belgrove,2017-09-26,11.88
HY Wai-iti at Belgrove,2017-09-27,0
HY Wai-iti at Belgrove,2017-09-28,0
HY Wai-iti at Belgrove,2017-09-29,0
HY Wai-iti at Belgrove,2017-09-30,0
HY Wai-iti at Belgrove,2017-10-01,0
HY Wai-iti at Belgrove,2017-10-02,0
HY Wai-iti at Belgrove,2017-10-03,0
HY Wai-iti at Belgrove,2017-10-04,0
HY Wai-iti at Belgrove,2017-10-05,1.98
HY Wai-iti at Belgrove,2017-10-06,0
HY Wai-iti at Belgrove,2017-10-07,59.4
HY Wai-iti at Belgrove,2017-10-08,17.325
HY Wai-iti at Belgrove,2017-10-09,4.455
HY Wai-iti at Belgrove,2017-10-10,15.84
HY Wai-iti at Belgrove,2017-10-11,1.98
HY Wai-iti at Belgrove,2017-10-12,0
HY Wai-iti at Belgrove,2017-10-13,0
HY Wai-iti at Belgrove,2017-10-14,0
HY Wai-iti at Belgrove,2017-10-15,0
HY Wai-iti at Belgrove,2017-10-16,0
HY Wai-iti at Belgrove,2017-10-17,0
HY Wai-iti at Belgrove,2017-10-18,0
HY Wai-iti at Belgrove,2017-10-19,0
HY Wai-iti at Belgrove,2017-10-20,0
HY Wai-iti at Belgrove,2017-10-21,0
HY Wai-iti at Belgrove,2017-10-22,0
HY Wai-iti at Belgrove,2017-10-23,0
HY Wai-iti at Belgrove,2017-10-24,0
HY Wai-iti at Belgrove,2017-10-25,2.335
HY Wai-iti at Belgrove,2017-10-26,0.467
HY Wai-iti at Belgrove,2017-10-27,0
HY Wai-iti at Belgrove,2017-10-28,0
HY Wai-iti at Belgrove,2017-10-29,0
HY Wai-iti at Belgrove,2017-10-30,0
HY Wai-iti at Belgrove,2017-10-31,0
