date,rainfall_mm
2021-06-07,8.25
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,0
2021-06-13,7.284267
2021-06-14,0.965733
2021-06-15,0
2021-06-16,0
2021-06-17,25.85
2021-06-18,8.25
2021-06-19,10.45
2021-06-20,2.2
2021-06-21,0
2021-06-22,0
2021-06-23,0
2021-06-24,0
2021-06-25,0
2021-06-26,3.85
2021-06-27,9.35
2021-06-28,2.2
2021-06-29,1.65
2021-06-30,0
2021-07-01,0
2021-07-02,0
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,29.7
2021-07-07,0
2021-07-08,0
2021-07-09,0
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,4.910022
2021-07-16,28.408768
2021-07-17,57.43121
2021-07-18,27.67595168
2021-07-19,2.0240483
2021-07-20,0
2021-07-21,16.5
2021-07-22,4.95
2021-07-23,3.85
2021-07-24,0
2021-07-25,8.8
2021-07-26,78.1
2021-07-27,1.1
2021-07-28,0
2021-07-29,0.548
2021-07-30,2.192
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-03,0
2021-08-04,0
2021-08-05,22.79002
2021-08-06,13.3779794
2021-08-07,0
2021-08-08,17.536
2021-08-09,0.548
2021-08-10,0
2021-08-11,0
2021-08-12,0
2021-08-13,2.74
2021-08-14,0.548
2021-08-15,0
2021-08-16,1.096
2021-08-17,11.508
2021-08-18,5.48
2021-08-19,0
2021-08-20,0
2021-08-21,0
2021-08-22,1.644
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,1.644
2021-08-27,18.732947
2021-08-28,13.0510526
2021-08-29,2.192
2021-08-30,0
2021-08-31,0
2021-09-01,0
2021-09-02,0
2021-09-03,0
2021-09-04,0
2021-09-05,0
2021-09-06,1.644
2021-09-07,31.784
2021-09-08,0
2021-09-09,0
2021-09-10,7.672
2021-09-11,0.548
2021-09-12,0
2021-09-13,7.672
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,2.136
2021-09-20,0
2021-09-21,0
2021-09-22,33.724932
2021-09-23,78.949068
2021-09-24,0
2021-09-25,2.136
2021-09-26,0.534
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,0.534
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,9.71156
2021-10-05,2.0364402
2021-10-06,19.224
2021-10-07,13.35
2021-10-08,0
2021-10-09,3.204
2021-10-10,0.534
2021-10-11,3.738
2021-10-12,0.534
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,26.7
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0.534
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,10.68
2021-10-29,2.67
2021-10-30,0
2021-10-31,0
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,0
2021-11-11,1.064
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,2.128
2021-11-17,0.532
2021-11-18,0
2021-11-19,0
2021-11-20,0
2021-11-21,9.576
2021-11-22,0
2021-11-23,0
2021-11-24,0
2021-11-25,0
2021-11-26,0
2021-11-27,3.192
2021-11-28,7.98
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,3.192
2021-12-03,1.596
2021-12-04,2.66
2021-12-05,0
2021-12-06,20.216
2021-12-07,0.532
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,9.044
2021-12-13,0
2021-12-14,28.728
2021-12-15,41.496
2021-12-16,38.836
2021-12-17,0
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
